image_number,caption_result
3000,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
3250,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
3500,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
3750,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
4000,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
4250,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
4500,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
4750,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
5000,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
5250,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
5500,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
5750,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
6000,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
6250,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
6500,"['Individual activity', 'Student writing', 'Individual technology', 'Desks-sitting ', 'Student(s) standing or walking']"
