"Activity Type","Description"
"Whole-class activity","All students involved in one activity, with teacher leading the learning (e.g., lecture, presentation, carpet time)."
"Individual activity","All students are privately working (e.g., independent practice, reading) alone at a separated desk or small groups with no interaction between students."
"Small group activity","Students are working together with peers (e.g., think-pair-share, book club); this is prioritized when there are students interacting or somewhat interacting near one another."
"Transition","The students and teacher are transitioning from one instructional activity to another (e.g., whole class to small group). The teacher and students are moving from one spot of the room to another (e.g., from the carpet to desks). Other than specific behavioral directions, no instruction or meaningful instructional activity is occurring during the transition."
"On task student talking with student","Students are conversing together; can overlap with ""small group activity""; this is specific to mouth movements within the parent code time interval; without teacher support."
"Teacher Supporting","Teacher is supporting a student while they work individually or in a group"
"Student raising hand","Hand is up for more than one second; clearly and purposefully raising hand."
"Sitting","Teacher is sitting (chair, stool, floor, crouching, on desk, kneeling)."
"Standing","Teacher is standing (in generally the same spot to maintain the same orientation to students)."
"Walking","Teacher is walking with purpose to change orientation to students."
"Sitting on carpet or floor","Students is sitting on floor/carpet."
"Sitting at group tables","Students is sitting at tables."
"Sitting at desks","Students is at individual desks."
"Student(s) standing or walking","Student is standing up or walking around the room; can be one or multiple students."
"One student","Teacher uses proximity to offer assistance to one student, can be verbal or nonverbal."
"Multiple students with student interaction","Teacher uses proximity to offer assistance to multiple students, can be verbal or nonverbal; individual students are also interacting with one another."
"Multiple students without student interaction","Teacher uses proximity to offer assistance to multiple students who are engaged in an activity, can be verbal or nonverbal; students are sitting close to one another or in a small group but are not interacting with one another."
"Using or holding book","A book is used or held by teacher or student."
"Using or holding worksheet","A worksheet is used or held by teacher or student."
"Presentation with technology","An interactive whiteboard, document camera, or projector is used to show content."
"Using or holding instructional tool","A tangible object (e.g., ruler, math manipulative; anything in someone's hand other than what is already listed; does not include pencil/pen) is used or held by teacher or student for instructional purposes."
"Using or holding notebook","A notebook is used or held by teacher or student."
"Individual technology","Student or teacher is using a laptop, tablet, etc."
"Teacher writing","Teacher is inscribing on paper or on a board; includes erasing."
"Student writing","Student is inscribing on paper or on a board; includes erasing."
"Discourse","Students and Teacher talking."
"No Action","There is no action by the Teacher or the Student."
