"Activity Type","Description"
"Whole-class activity","All students involved in one activity, with teacher leading the learning (e.g., lecture, presentation, carpet time)."
"Transition","The students and teacher are transitioning from one instructional activity to another (e.g., whole class to small group). The teacher and students are moving from one spot of the room to another (e.g., from the carpet to desks). Other than specific behavioral directions, no instruction or meaningful instructional activity is occurring during the transition."
"On task student talking with student","Students are conversing together; can overlap with ""small group activity""; this is specific to mouth movements within the parent code time interval; without teacher support."
"Student raising hand","Hand is up for more than one second; clearly and purposefully raising hand."
"Sitting","Teacher is sitting (chair, stool, floor, crouching, on desk, kneeling)."
"Standing","Teacher is standing (in generally the same spot to maintain the same orientation to students)."
"Sitting on carpet or floor","Students is sitting on floor/carpet."
"Sitting at group tables","Students is sitting at tables."
"Sitting at desks","Students is at individual desks."
"Discourse","Students and Teacher talking."
"No Action","There is no action by the Teacher or the Student."
