image_number,caption_result
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_3000ms,"{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of computers. The computers are black. The computer is on a desk. The desk is black. There is a large whiteboard on the wall. There are colorful papers on the board. The papers are yellow, green, blue and red. The door is brown.'}"
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_3250ms,"{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of computers. The computers are black. The computer is on a desk. The desk is black. There is a large whiteboard on the wall. There are colorful papers on the board. The papers are yellow, green, blue, and red. The door is brown.'}"
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_3500ms,{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom has desks and chairs. The desks are black. There is a computer on the desk. The computer screen is black. The screen is on. There are many papers on the wall. The papers are colorful. The wall is yellow. The door is brown. The ceiling is white. The lights are on. The light is reflecting off of the ceiling.'}
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_3750ms,{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of computers. The computers are black. The computer screen is on. The screen is black. There is a large whiteboard on the wall. The board is covered with papers. The papers are colorful. The wall is yellow. The door is brown. The clock is white.'}
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_4000ms,"{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of computers. The computers are black. The computer screen is on. There is a large whiteboard on the wall. There are colorful papers on the walls. The papers are yellow, green, blue, and red. The door is brown. The ceiling is white and has lights on it.'}"
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_4250ms,{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of computers. The computers are black. There is a whiteboard on the wall. There are colorful papers hanging on the walls. The walls are light yellow. The ceiling has white lights. The door is brown. The clock is white with black numbers on it.'}
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_4500ms,{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of computers. The computers are black. There is a large whiteboard on the wall. There are colorful papers on the bulletin board. The walls are painted yellow. The ceiling is white. The clock on the clock is black. The door is brown.'}
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_4750ms,{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of a computer. The computer is black. There is a large whiteboard on the wall. There are colorful papers hanging on the walls. The door is brown. The ceiling is white. The light is on. The clock is black and white.'}
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_5000ms,{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of computers. The computers are black. There is a large whiteboard on the wall. There are colorful papers on the bulletin board. The bulletin board is blue and yellow. The door is brown. The ceiling is white and has lights on it.'}
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_5250ms,"{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of computers. The computers are black. There is a large whiteboard on the wall. The whiteboard is made of wood. There are colorful papers on the board. The papers are yellow, green, blue and red. The boy is standing by the whiteboard. The door is brown.'}"
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_5500ms,{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom has desks. The desks are black. There are computers on top of the desks. There is a large whiteboard on the wall. The wall has many colorful papers on it. The papers are pasted on the whiteboard. The door is brown. The ceiling is white. The lights in the room are white.'}
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_5750ms,{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom has desks. The desks are black. There are computers on top of the desks. There is a large whiteboard on the wall. The wall has many colorful papers on it. The papers are pasted on the whiteboard. The door is brown. The ceiling is white. The lights in the room are white.'}
/standard/spencerNSF/NeuralNetworksProjectVideos/314hours/314hours Videos/110.006.2018_ELA2_Year2_20180205_6000ms,"{'<MORE_DETAILED_CAPTION>': 'This is an image of a classroom. The classroom is filled with students. The students are sitting in front of a desk. The desk has a computer on it. The computer is black. There is a large whiteboard on the wall. There are colorful papers on the board. The papers are yellow, green, blue, and red. The door is brown. The ceiling is white.'}"
